2026-05-10 20:46:45,856 | DEBUG    | asyncio | __init__:633 | Using proactor: IocpProactor
2026-05-10 20:47:20,421 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:20,423 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290366271226268 to MsgsAck (25498c4b700)
2026-05-10 20:47:20,423 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:20,424 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,424 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,425 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290366279202800 to MsgsAck (25498c4b430)
2026-05-10 20:47:20,425 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:20,426 | ERROR    | __main__ | run_sherlock_deleter:106 | [1372192569_2] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:20,426 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:20,426 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:20,426 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,427 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
2026-05-10 20:47:20,427 | INFO     | telethon.network.mtprotosender | _disconnect:345 | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:20,431 | DEBUG    | __main__ | run_sherlock_deleter:131 | [1372192569_2] Соединение закрыто.
2026-05-10 20:47:20,432 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: 1372192569_telethon
2026-05-10 20:47:20,434 | INFO     | __main__ | run_sherlock_deleter:102 | [1372192569_telethon] Подключение...
2026-05-10 20:47:20,434 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:20,434 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:20,437 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:20,437 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:20,438 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:20,438 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:20,443 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,445 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290271870298912 to InvokeWithLayerRequest (25498c33650)
2026-05-10 20:47:20,445 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:20,446 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,447 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,447 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:20,771 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290273173313668, good 7638290368985285633, new 23)
2026-05-10 20:47:20,771 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290271870298912
2026-05-10 20:47:20,773 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
2026-05-10 20:47:20,773 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:20,773 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371968671784 to InvokeWithLayerRequest (25498c33650)
2026-05-10 20:47:20,773 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:20,775 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,775 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,775 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371976832372 to MsgsAck (25498c4b610)
2026-05-10 20:47:20,776 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:20,777 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,777 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,919 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:20,920 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:20,921 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290371968671784]
2026-05-10 20:47:20,922 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:20,932 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290371968671784
2026-05-10 20:47:20,933 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:20,933 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372607983572 to GetUsersRequest (25498c33650)
2026-05-10 20:47:20,933 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:20,934 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,934 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:20,935 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372613648396 to MsgsAck (25498c4b750)
2026-05-10 20:47:20,935 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:20,936 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:20,938 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,023 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290372607983572
2026-05-10 20:47:21,024 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,025 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290373271178828 to MsgsAck (25498c4ba20)
2026-05-10 20:47:21,026 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,026 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,027 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,027 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290373279326068 to MsgsAck (25498c4b8e0)
2026-05-10 20:47:21,028 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,029 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,029 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,029 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290373288012132 to GetStateRequest (25498c33e50)
2026-05-10 20:47:21,030 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:21,031 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,031 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,139 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290373288012132
2026-05-10 20:47:21,140 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,141 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290373733125316 to MsgsAck (25498c4bb60)
2026-05-10 20:47:21,141 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,142 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,142 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,142 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290373740020380 to MsgsAck (25498c4b890)
2026-05-10 20:47:21,143 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,143 | ERROR    | __main__ | run_sherlock_deleter:106 | [1372192569_telethon] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:21,144 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:21,144 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:21,144 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,145 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
2026-05-10 20:47:21,145 | INFO     | telethon.network.mtprotosender | _disconnect:345 | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:21,149 | DEBUG    | __main__ | run_sherlock_deleter:131 | [1372192569_telethon] Соединение закрыто.
2026-05-10 20:47:21,150 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: 206621910telethon
2026-05-10 20:47:21,152 | INFO     | __main__ | run_sherlock_deleter:102 | [206621910telethon] Подключение...
2026-05-10 20:47:21,152 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:21,152 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:21,156 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:21,157 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:21,157 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:21,157 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:21,161 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,162 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290275033183268 to InvokeWithLayerRequest (25498c8c750)
2026-05-10 20:47:21,162 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:21,163 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,164 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,164 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,610 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290276825774364, good 7638290372627185665, new 22)
2026-05-10 20:47:21,610 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290275033183268
2026-05-10 20:47:21,612 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
2026-05-10 20:47:21,612 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,612 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371324465736 to InvokeWithLayerRequest (25498c8c750)
2026-05-10 20:47:21,613 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:21,614 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,614 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,614 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371331730824 to MsgsAck (25498c4ba70)
2026-05-10 20:47:21,614 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,615 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,616 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,709 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:21,709 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:21,711 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290371324465736]
2026-05-10 20:47:21,711 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,715 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290371324465736
2026-05-10 20:47:21,716 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,716 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371741197568 to GetUsersRequest (25498c8c750)
2026-05-10 20:47:21,717 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:21,717 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,718 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,718 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290371747104628 to MsgsAck (25498c4bbb0)
2026-05-10 20:47:21,718 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:21,719 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,719 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,805 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290371741197568
2026-05-10 20:47:21,806 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,807 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372103339180 to MsgsAck (25498c4be80)
2026-05-10 20:47:21,807 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,808 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,808 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,809 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372110270484 to MsgsAck (25498c4bd40)
2026-05-10 20:47:21,809 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,810 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,810 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,810 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372117329580 to GetStateRequest (25498c8cf50)
2026-05-10 20:47:21,811 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:21,812 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,812 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,910 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290372117329580
2026-05-10 20:47:21,911 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:21,912 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372523645384 to MsgsAck (25498c4bfc0)
2026-05-10 20:47:21,912 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,913 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,913 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,914 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290372530603392 to MsgsAck (25498c4bcf0)
2026-05-10 20:47:21,914 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:21,915 | ERROR    | __main__ | run_sherlock_deleter:106 | [206621910telethon] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:21,915 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:21,915 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
2026-05-10 20:47:21,916 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,916 | DEBUG    | telethon.network.mtprotosender | _disconnect:331 | Cancelling 0 pending message(s)...
2026-05-10 20:47:21,916 | INFO     | telethon.network.mtprotosender | _disconnect:345 | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:21,921 | DEBUG    | __main__ | run_sherlock_deleter:131 | [206621910telethon] Соединение закрыто.
2026-05-10 20:47:21,921 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: 206621910_telethon
2026-05-10 20:47:21,923 | INFO     | __main__ | run_sherlock_deleter:102 | [206621910_telethon] Подключение...
2026-05-10 20:47:21,923 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:21,923 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:21,927 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:21,927 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:21,928 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:21,928 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:21,932 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,933 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290278117095164 to InvokeWithLayerRequest (25498c9c410)
2026-05-10 20:47:21,933 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:21,934 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:21,934 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:21,935 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,287 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290279829767996, good 7638290375529518081, new 22)
2026-05-10 20:47:22,288 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290278117095164
2026-05-10 20:47:22,289 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
2026-05-10 20:47:22,289 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,289 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290374327805148 to InvokeWithLayerRequest (25498c9c410)
2026-05-10 20:47:22,290 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:22,291 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,291 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,291 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290374334949120 to MsgsAck (25498ca40a0)
2026-05-10 20:47:22,291 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:22,292 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,292 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,410 | DEBUG    | telethon.network.mtprotosender | _handle_container:663 | Handling container
2026-05-10 20:47:22,410 | DEBUG    | telethon.network.mtprotosender | _handle_new_session_created:831 | Handling new session created
2026-05-10 20:47:22,411 | DEBUG    | telethon.network.mtprotosender | _handle_ack:850 | Handling acknowledge for [7638290374327805148]
2026-05-10 20:47:22,412 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,438 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290374327805148
2026-05-10 20:47:22,439 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,439 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290374928417788 to GetUsersRequest (25498c9c7d0)
2026-05-10 20:47:22,440 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 32 bytes for sending
2026-05-10 20:47:22,441 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,441 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,442 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290374936771020 to MsgsAck (25498ca4050)
2026-05-10 20:47:22,442 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 60 bytes for sending
2026-05-10 20:47:22,443 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,444 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,585 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290374928417788
2026-05-10 20:47:22,585 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,587 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290375518320664 to MsgsAck (25498ca4320)
2026-05-10 20:47:22,587 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:22,588 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,589 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,590 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290375531346904 to MsgsAck (25498c4bf70)
2026-05-10 20:47:22,591 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:22,593 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,593 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,594 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290375546047792 to GetStateRequest (25498c9c410)
2026-05-10 20:47:22,594 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 20 bytes for sending
2026-05-10 20:47:22,596 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,596 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,704 | DEBUG    | telethon.network.mtprotosender | _handle_rpc_result:613 | Handling RPC result for message 7638290375546047792
2026-05-10 20:47:22,704 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:22,706 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290375994597064 to MsgsAck (25498ca4460)
2026-05-10 20:47:22,706 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:22,707 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:22,707 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:22,708 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290376001697168 to MsgsAck (25498ca4190)
2026-05-10 20:47:22,708 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 36 bytes for sending
2026-05-10 20:47:22,709 | ERROR    | __main__ | run_sherlock_deleter:106 | [206621910_telethon] ❌ СЕССИЯ НЕ АВТОРИЗОВАНА/ЗАБАНЕНА
2026-05-10 20:47:22,710 | INFO     | telethon.network.mtprotosender | _disconnect:325 | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-10 20:47:22,710 | DEBUG    | telethon.network.mtprotosender | _disconnect:328 | Closing current connection...
